Reka,Stanica,Datum,H (cm),NS - Proticaj (m3/s),NS - T vode   (°C),NS - Ep. (µS/cm),NS - O2 (mg/l)
DUNAV,NOVI SAD,12/10/2024,114,2073.24,6.2,509,11.8
DUNAV,NOVI SAD,12/11/2024,116,2085.24,6.1,507,11.7
DUNAV,NOVI SAD,12/12/2024,125,2139.89,6.1,508,11.7
DUNAV,NOVI SAD,12/13/2024,137,2214.45,5.7,520,11.9
DUNAV,NOVI SAD,12/14/2024,140.67,2237.62,5.6,516,11.9
DUNAV,NOVI SAD,12/15/2024,144.33,2260.97,5.5,512,11.9
DUNAV,NOVI SAD,12/16/2024,148,2284.5,5.4,508,11.9
DUNAV,NOVI SAD,12/17/2024,143,2252.46,5.2,520,12
DUNAV,NOVI SAD,12/18/2024,131,2176.92,5.2,515,12.2
DUNAV,NOVI SAD,12/19/2024,119,2103.33,5,509,12.1
DUNAV,NOVI SAD,12/20/2024,108,2037.57,6,516,12.2
DUNAV,NOVI SAD,12/21/2024,106.67,2029.71,5.8,513,12.07
DUNAV,NOVI SAD,12/22/2024,105.33,2021.88,5.6,510,11.93
DUNAV,NOVI SAD,12/23/2024,104,2014.06,5.4,507,11.8
